Nicrophorus tomentosus
Aeolidia papillosa
Veronica serpyllifolia
Geum rivale
Centaurea jacea
Parentucellia viscosa
Phalacrocorax sulcirostris
Nerium oleander
Chelidonium majus
Junco hyemalis caniceps
Viola arvensis
Sitta carolinensis
Populus alba
Anhinga anhinga
Carex grayi
Euphorbia cyparissias
Claytonia sibirica
Calycanthus occidentalis
Prionus californicus
Promachus hinei
Acridotheres tristis
Sitta pygmaea
Desmodium canadense
Urtica ferox
Actophilornis africanus
Cypripedium acaule
Taxus canadensis
Phloeodes diabolicus
Sitta canadensis
Sitta europaea
Ochlodes agricola
Solenopsis invicta
Ostracion meleagris
Chlorogalum pomeridianum
Apus apus
Taraxacum officinale
Euphoria basalis
Carpinus betulus
Phaneroptera nana
Psorothamnus spinosus
Quercus marilandica
Sturnus vulgaris
Prunus spinosa
Oryctolagus cuniculus domesticus
Corbicula fluminea
Orgyia leucostigma
Adiantum capillus-veneris
Primula veris
Asclepias quadrifolia
Claytonia perfoliata
Draba verna
Katharina tunicata
Arundo donax
Myosotis sylvatica
Helleborus foetidus
Lamium maculatum
Cardamine hirsuta
Glechoma hederacea
Macrodiplax balteata
Anemone nemorosa
Aphomia sociella
Viola odorata
Vireo griseus
Euonymus europaeus
Pinus lambertiana
Urocyon cinereoargenteus
Ratibida pinnata
Lamium purpureum
Croton setiger
Varanus varius
Datura stramonium
Toxostoma longirostre
Henricia leviuscula
Calotes versicolor
Toxostoma rufum
Rhipidura fuliginosa
Calidris alba
Pycnopodia helianthoides
Toxostoma redivivum
Gallinula galeata
Microsorum pustulatum
Cotinis nitida
Enhydra lutris nereis
Calyptocarpus vialis
Toxostoma curvirostre
Platalea alba
Justicia americana
Lamium album
Equisetum scirpoides
Erodium cicutarium
Macromia illinoiensis
Sherardia arvensis
Rosa canina
Sceloporus magister
Lunaria annua
Andricus quercuscalifornicus
Hesperis matronalis
Geranium maculatum
Berberis trifoliolata
Macromia taeniolata
Aythya collaris
Galgula partita
Fraxinus americana
Salvia lyrata
Icterus wagleri
Plathemis lydia
Viola tricolor
Icterus parisorum
Micrathena gracilis
Rubus fruticosus
Parastichopus californicus
Phelsuma laticauda
Notarctia proxima
Berberis repens
Tyria jacobaeae
Coluber flagellum
Coluber flagellum flagellum
Ageratina adenophora
Hordnia atropunctata
Geranium robertianum
Hieracium aurantiacum
Scleroderma citrinum
Scopula rubraria
Rhus ovata
Pinus coulteri
Evergestis pallidata
Verbascum virgatum
Marpesia petreus
Apalone spinifera
Calidris pusilla
Salvia apiana
Taxus baccata
Apalone spinifera emoryi
Gallinago gallinago
Magicicada septendecim
Celithemis fasciata
Encelia californica
Armillaria mellea
Icterus spurius
Calidris minutilla
Tipularia discolor
Dumetella carolinensis
Anemone hepatica
Scudderia furcata
Sceloporus graciosus
Angelica atropurpurea
Mallophora fautrix
Malacosoma californicum
Blechnum filiforme
Calidris fuscicollis
Anemone canadensis
Ariolimax columbianus
Viburnum opulus
Iris pseudacorus
Frangula alnus
Phalaropus tricolor
Eupatorium cannabinum
Yucca brevifolia
Tellima grandiflora
Yucca baccata
Lapsana communis
Acalymma vittatum
Aythya marila
Urocitellus columbianus
Podarcis muralis
Zelus renardii
Lychnis flos-cuculi
Lymantria dispar
Melanotis caerulescens
Anthopleura artemisia
Uria aalge
Dipsacus fullonum
Ampelopsis brevipedunculata
Oreoscoptes montanus
Zantedeschia aethiopica
Limnodromus scolopaceus
Libellula saturata
Leucobryum glaucum
Tamarix ramosissima
Gentianopsis crinita
Lygodesmia texana
Cancer productus
Tringa solitaria
Arctotheca calendula
Cyllopsis gemma
Carpobrotus chilensis
Anemone acutiloba
Bipalium kewense
Anemopsis californica
Adiantum jordanii
Alnus rubra
Kniphofia uvaria
Gryllodes sigillatus
Pinus contorta
Quercus agrifolia
Chelonia mydas
Phragmites australis
Tribulus terrestris
Cortaderia selloana
Caretta caretta
Dendrocygna viduata
Dendrocygna bicolor
Icterus abeillei
Lepidochelys olivacea
Lilium pardalinum
Eretmochelys imbricata
Leucanthemum vulgare
Aurelia aurita
Alliaria petiolata
Sorbus aucuparia
Ranunculus acris
Cygnus atratus
Todiramphus sanctus vagans
Cygnus cygnus
Cygnus columbianus
Cygnus olor
Actitis macularius
Estigmene acrea
Hypericum perforatum
Plutella xylostella
Impatiens capensis
Anas penelope
Aeshna canadensis
Armadillidium vulgare
Impatiens glandulifera
Anas acuta
Hormosira banksii
Lampropeltis californiae
Battus philenor hirsuta
Anas crecca
Morus alba
Hydrophyllum virginianum
Lottia digitalis
Polypodium scouleri
Angelica hendersonii
Scaphiopus couchii
Ajuga reptans
Anas fulvigula
Triodanis perfoliata
Alopochen aegyptiaca
Anas bahamensis
Asclepias tuberosa
Anas discors
Eumorpha pandorus
Actias luna
Anas strepera
Sypharochiton pelliserpentis
Anas clypeata
Menemerus bivittatus
Anas chlorotis
Microstegium vimineum
Stachys sylvatica
Ilex aquifolium
Polites themistocles
Libellula luctuosa
Poanes hobomok
Anas querquedula
Quercus robur
Crassostrea virginica
Primula vulgaris
Ornithogalum umbellatum
Anas superciliosa
Petasites frigidus palmatus
Lambdina fiscellaria
Icterus bullockii
Bucephala albeola
Bucephala islandica
Mergus serrator
Lenzites betulina
Gymnosporangium juniperi-virginianae
Allium ursinum
Juncus effusus
Natrix tessellata
Rhus virens
Chrysemys picta marginata
Chrysemys picta bellii
Sympetrum costiferum
Chrysemys picta picta
Malva sylvestris
Verbena officinalis
Isa textula
Trachemys scripta
Hypoprepia fucosa
Pycnanthemum virginianum
Sympetrum internum
Leonurus cardiaca
Sympetrum madidum
Euphyes vestris
Camponotus pennsylvanicus
Sympetrum obtrusum
Artomyces pyxidatus
Sympetrum pallipes
Medicago lupulina
Milvus milvus
Uresiphita reversalis
Rallus crepitans
Agathis australis
Cercocarpus betuloides
Melanitta fusca
Milvus migrans
Gelochelidon nilotica
Melanitta perspicillata
Lissotriton vulgaris
Terrapene ornata
Calliostoma ligatum
Terrapene ornata ornata
Hedera helix
Schoenoplectus tabernaemontani
Aythya fuligula
Feniseca tarquinius
Terrapene carolina triunguis
Terrapene carolina bauri
Numenius americanus
Pseudemys texana
Pseudemys gorzugi
Aythya americana
Halmus chalybeus
Aythya novaeseelandiae
Arundinaria gigantea
Chen rossii
Chen caerulescens
Pseudemys concinna
Chamaea fasciata
Tadorna tadorna
Malaclemys terrapin
Tussilago farfara
Juniperus grandis
Tadorna variegata
Polygonia c-album
Papilio polyxenes
Lobelia cardinalis
Oxyura jamaicensis
Convolvulus arvensis
Guazuma ulmifolia
Centaurium erythraea
Branta bernicla
Argia vivida
Leptoglossus phyllopus
Graptemys geographica
Plebejus acmon
Thalasseus elegans
Leptoglossus zonatus
Leptoglossus clypealis
Emys orbicularis
Ceratiomyxa fruticulosa
Branta leucopsis
Lysimachia terrestris
Polistes carolina
Siproeta stelenes
Aix galericulata
Aix sponsa
Eupsittula nana
Lophodytes cucullatus
Eupsittula canicularis
Histrionicus histrionicus
Aratinga nenday
Emydoidea blandingii
Psittacara holochlorus
Marimatha nigrofimbria
Cairina moschata
Netta rufina
Phaeoura quernaria
Psittacara erythrogenys
Sayornis saya
Ennomos magnaria
Tsuga mertensiana
Colias eurytheme
Apamea amputatrix
Sceliphron caementarium
Dryocampa rubicunda
Acer pensylvanicum
Aythya valisineria
Heliconius erato
Acer rubrum
Pseudacris maculata
Macroglossum stellatarum
Vermivora cyanoptera
Exomala orientalis
Sceloporus consobrinus
Tegula brunnea
Nestor notabilis
Asio otus
Vaccinium vitis-idaea
Thalictrum dioicum
Coprinellus disseminatus
Euphorbia antisyphilitica
Ruellia strepens
Coprinellus micaceus
Corvus brachyrhynchos
Coprinopsis atramentaria
Fraxinus excelsior
Clangula hyemalis
Asarum canadense
Catocala maestosa
Chenonetta jubata
Dodonaea viscosa
Chilopsis linearis
Giraffa camelopardalis
Strobilomyces floccopus
Tringa semipalmata inornatus
Litoria aurea
Cynoglossum officinale
Patiriella regularis
Celastrus scandens
Ammospermophilus leucurus
Celastrus orbiculatus
Euphorbia pulcherrima
Gentiana calycosa
Centaurea cyanus
Morella pensylvanica
Hemipenthes sinuosa
Teucrium canadense
Sidalcea malviflora
Carnegiea gigantea
Sula nebouxii
Onychognathus morio
Dryas iulia moderata
Solanum rostratum
Agrocybe parasitica
Momordica charantia
Galinsoga parviflora
Colaptes rubiginosus
Nemoria bistriaria
Myoporum laetum
Ptiliogonys cinereus
Ferocactus cylindraceus
Conopholis americana
Juniperus deppeana
Callophrys niphon
Aspidoscelis hyperythra beldingi
Picea rubens
Vernonia baldwinii
Cassiculus melanicterus
Convallaria majalis
Deidamia inscriptum
Coreus marginatus
Romalea microptera
Piper excelsum excelsum
Ariolimax californicus
Marchantia polymorpha
Hypomyces lactifluorum
Fucus vesiculosus
Rabdophaga strobiloides
Dendragapus fuliginosus
Silphium terebinthinaceum
Eschscholzia californica
Spizelloides arborea
Acer macrophyllum
Sigmodon hispidus
Pinus taeda
Spiraea alba
Cyprinus carpio haematopterus
Apiomerus californicus
Aegithalos caudatus
Eysenhardtia texana
Erythronium americanum
Aquilegia formosa
Ferocactus hamatacanthus
Ferocactus wislizeni
Silphium laciniatum
Dactylotum bicolor
Gaura parviflora
Pseudotsuga menziesii
Sargassum muticum
Acer circinatum
Pelidnota punctata
Silybum marianum
Apatelodes torrefacta
Cervus elaphus roosevelti
Lampides boeticus
Crotalus oreganus oreganus
Crotalus oreganus
Frontinella communis
Helianthus maximiliani
Ipomoea imperati
Geum urbanum
Gopherus berlandieri
Gopherus polyphemus
Agalychnis callidryas
Aglais urticae
Aporia crataegi
Oniscus asellus
Milla biflora
Tigridia pavonia
Acanthurus triostegus
Philoscia muscorum
Dahlia coccinea
Aedes albopictus
Scolopendra heros
Panchlora nivea
Limulus polyphemus
Cyanocompsa parellina
Agalychnis dacnicolor
Macaca fascicularis
Elaeagnus angustifolia
Elaeagnus umbellata
Galerida cristata
Loeselia mexicana
Delichon urbicum
Marrubium vulgare
Phoca vitulina
Hydrochoerus hydrochaeris
Vaccinium uliginosum
Dendrolycopodium obscurum
Helmitheros vermivorum
Papilio machaon
Canna indica
Parathelypteris noveboracensis
Hemigrapsus nudus
Mimus gilvus
Senecio triangularis
Porphyrio poliocephalus
Vaccinium ovatum
Elophila obliteralis
Phegopteris hexagonoptera
Vaccinium parvifolium
Eidolon helvum
Lestes rectangularis
Mimus polyglottos
Hyla versicolor
Carabus nemoralis
Tecoma stans
Stenaria nigricans
Euphydryas phaeton
Polygrammate hebraeicum
Polygonia interrogationis
Diphasiastrum digitatum
Ophisaurus attenuatus attenuatus
Odocoileus hemionus californicus
Antigonon leptopus
Phormium tenax
Streptopelia chinensis
Micrathyria hagenii
Ceanothus velutinus
Bombycilla cedrorum
Bombycilla garrulus
Limenitis arthemis arthemis
Petroica australis australis
Chylismia claviformis
Pedicularis semibarbata
Dichelostemma congestum
Gasterosteus aculeatus
Recurvirostra americana
Grylloprociphilus imbricator
Limenitis arthemis astyanax
Elaphria grata
Plebejus lupini
Solidago bicolor
Certhia americana
Cypripedium parviflorum
Pelophylax
Hetaerina americana
Fuchsia magellanica
Ceanothus thyrsiflorus
Tadorna ferruginea
Dione moneta
Umbilicaria mammulata
Campylorhynchus brunneicapillus
Blechnum spicant
Pyrausta laticlavia
Adiantum pedatum
Campylorhynchus rufinucha
Phacelia distans
Gaultheria shallon
Elgaria multicarinata webbii
Lycoperdon perlatum
Pyrisitia lisa
Elgaria kingii
Salpinctes obsoletus
Osmorhiza longistylis
Hyla squirella
Peltodoris nobilis
Polygonia satyrus
Physalia physalis
Hexastylis arifolia
Lasthenia californica
Polioptila melanura
Liatris aspera
Pinus ponderosa
Heliopsis helianthoides
Storeria occipitomaculata
Melozone aberti
Homalodisca vitripennis
Melozone crissalis
Polyporus squamosus
Ganoderma applanatum
Storeria occipitomaculata occipitomaculata
Boa constrictor
Melanargia galathea
Heterodon platirhinos
Drosera spatulata
Hypsopygia olinalis
Harmonia axyridis
Odontotaenius disjunctus
Chimaphila maculata
Anolis nebulosus
Xantusia vigilis
Podarcis sicula
Heterodon nasicus
Platynota idaeusalis
Pleurotus ostreatus
Erigenia bulbosa
Hyla intermedia
Cercis canadensis texensis
Heraclides rumiko
Cercis canadensis
Platanthera dilatata leucostachys
Junonia coenia
Hyla chrysoscelis
Hyla arenicolor
Porcellio scaber
Rhus typhina
Lycogala epidendrum
Capsicum annuum
Parabuteo unicinctus
Nuphar variegata
Osmundastrum cinnamomeum
Texola elada
Anas platyrhynchos domesticus
Perca flavescens
Symphyotrichum lateriflorum
Troglodytes aedon
Symphoricarpos albus
Gaura suffulta
Odocoileus hemionus columbianus
Micranthes virginiensis
Tremella mesenterica
Dione juno
Thamnophilus doliatus
Picoides albolarvatus
Limenitis reducta
Thryomanes bewickii
Lysichiton americanus
Cytisus scoparius
Calochortus amabilis
Eubaphe mendica
Taraxacum officinale officinale
Cirsium scariosum
Hyla cinerea
Ancistrocerus gazella
Ricinus communis
Vanessa cardui
Baccharis neglecta
Phoebis sennae
Myioborus miniatus
Pyrgus albescens
Calycopis cecrops
Achlyodes pallida
Eudryas unio
Cistothorus platensis
Circus cyaneus hudsonius
Cryptochiton stelleri
Penstemon centranthifolius
Cistothorus palustris
Colaptes auratus auratus
Colaptes auratus cafer
Lupinus succulentus
Castilleja foliolosa
Blechnum fluviatile
Parkesia motacilla
Parkesia noveboracensis
Okenia rosacea
Sula granti
Anteos maerula
Passerina caerulea
Lemna minor
Glaucopsyche lygdamus
Leptosiphon ciliatus
Chromagrion conditum
Prosthechea cochleata
Anaxyrus cognatus
Anaxyrus debilis
Anaxyrus fowleri
Lithospermum canescens
Mertensia paniculata
Amorpha canescens
Phytolacca americana
Anaxyrus punctatus
Anaxyrus quercicus
Peucaea ruficauda
Cinclus mexicanus
Anaxyrus terrestris
Anaxyrus woodhousii
Cinclus cinclus
Rhamnus cathartica
Calidris subruficollis
Nemophila heterophylla
Gymnopilus junonius
Echinocystis lobata
Nepeta cataria
Ischnura verticalis
Oenothera speciosa
Phalaropus fulicarius
Cornus sanguinea
Chrysolina bankii
Protodeltote muscosula
Lomatium dasycarpum
Sisyrinchium montanum
Lomatium utriculatum
Agriphila vulgivagella
Krameria lanceolata
Nymphalis antiopa
Anolis sagrei
Megathura crenulata
Eurema mexicana
Carterocephalus palaemon
Sanicula bipinnatifida
Ligustrum lucidum
Scandix pecten-veneris
Cupido comyntas
Torilis arvensis
Plebejus melissa
Smilax herbacea
Asclepias fascicularis
Achyrachaena mollis
Adenocaulon bicolor
Metridium senile
Entelea arborescens
Symphyotrichum chilense
Ficaria verna
Psamatodes abydata
Ebenopsis ebano
Oncometopia orbona
Spiraea tomentosa
Viburnum acerifolium
Phacelia californica
Dolomedes triton
Lamium galeobdolon
Anser anser domesticus
Bombus pensylvanicus
Aloysia gratissima
Dichromanthus cinnabarinus
Boletus edulis
Lepomis megalotis
Erpetogomphus designatus
Lobaria pulmonaria
Lepomis cyanellus
Lasiurus borealis
Lasiurus cinereus
Aleuria aurantia
Ipomoea pandurata
Phidiana hiltoni
Iris versicolor
Libellula pulchella
Pelecanus occidentalis californicus
Trite planiceps
Tsuga canadensis
Pluvialis fulva
Sphex pensylvanicus
Catasticta nimbice
Glaucidium brasilianum
Datana ministra
Allium tricoccum
Simmondsia chinensis
Lycaena phlaeas hypophlaeas
Vipera berus
Echinothrix calamaris
Crotalus viridis
Solanum douglasii
Lupinus perennis
Grindelia camporum
Gopherus agassizii
Hymenophyllum demissum
Hemizonia congesta
Strophostyles helvola
Lumbricus terrestris
Tramea onusta
Aspidoscelis exsanguis
Madia elegans
Polites vibex
Myiarchus tyrannulus
Sturnella neglecta
Pollicipes polymerus
Meleagris gallopavo silvestris
Mycelis muralis
Aphelocoma coerulescens
Terrapene carolina
Othocallis siberica
Anaea andria
Habrosyne scripta
Wyethia angustifolia
Myiarchus crinitus
Paroaria coronata
Lobularia maritima
Croton monanthogynus
Acris crepitans
Umbellularia californica
Elephas maximus
Acris gryllus
Steatoda triangulosa
Epargyreus clarus
Coluber lateralis
Bursera simaruba
Anisota senatoria
Anisota virginiensis
Quercus ilicifolia
Citheronia regalis
Lasionycteris noctivagans
Eacles imperialis
Sesuvium portulacastrum
Buteo buteo
Elymus hystrix
Hylocomium splendens
Haloragis erecta
Acer negundo
Dalea candida
Silphium perfoliatum
Sylvia atricapilla
Pseudacris streckeri
Cirsium muticum
Alisma subcordatum
Yucca filamentosa
Littorina littorea
Myiodynastes luteiventris
Geukensia demissa
Potentilla simplex
Copsychus malabaricus
Copsychus saularis
Euphorbia peplus
Croton capitatus
Contopus sordidulus
Corvus corone
Penstemon cobaea
Cyanoramphus novaezelandiae
Smilisca baudinii
Dicrurus adsimilis
Linum rigidum
Mimulus aurantiacus
Monarda citriodora
Malosma laurina
Ficedula hypoleuca
Medicago sativa
Indigofera miniata
Aepyceros melampus
Halcyon smyrnensis
Hemiphaga novaeseelandiae
Melilotus indicus
Melilotus officinalis
Schizachyrium scoparium
Contopus cooperi
Pickeringia montana
Sorghastrum nutans
Pseudemys nelsoni
Octopus rubescens
Lanius excubitor
Larus argentatus
Trifolium hirtum
Nematocampa resistaria
Trifolium willdenovii
Baptisia alba
Dolichovespula maculata
Malacosoma disstria
Rena dulcis
Motacilla flava
Erodium botrys
Erodium moschatum
Haploa confusa
Eriodictyon californicum
Clemensia albata
Rivula propinqualis
Euchaetes egle
Scopula limboundata
Campaea perlata
Ictidomys parvidens
Ictidomys tridecemlineatus
Niebla homalea
Noctua pronuba
Xerospermophilus spilosoma
Trichopoda pennipes
Lepechinia calycina
Urocitellus beldingi
Mentha pulegium
Lyssa zampa
Tramea carolina
Tiaris olivaceus
Salvia azurea
Scutellaria tuberosa
Tolype velleda
Leptecophylla tameiameiae
Otospermophilus beecheyi
Otospermophilus variegatus
Phlox divaricata
Callospermophilus lateralis
Polystichum munitum
Triteleia hyacinthina
Harrisimemna trisignata
Calylophus berlandieri
Malacothamnus fasciculatus
Trogon caligatus
Olea europaea
Aspidoscelis velox
Dicentra canadensis
Cichorium intybus
Clarkia rubicunda
Arilus cristatus
Osteopilus septentrionalis
Abaeis nicippe
Orobanche fasciculata
Symplocarpus foetidus
Orobanche uniflora
Euborellia annulipes
Briza maxima
Neophasia menapia
Erechtites hieraciifolius
Antirrhinum majus
Corvus corax
Euonymus fortunei
Lepturobosca chrysocoma
Oxalis oregana
Nucella ostrina
Achalarus lyciades
Necrophila americana
Egretta novaehollandiae
Menispermum canadense
Apalone ferox
Pagurus samuelis
Asterocampa leilia
Centaurea montana
Hippodamia convergens
Cryptothecia rubrocincta
Corvus frugilegus
Scoliopus bigelovii
Corvus splendens
Lasiommata megera
Herbertia lahue
Phalaris aquatica
Corvus albus
Larus hyperboreus
Fissurella volcano
Quercus velutina
Quercus douglasii
Quercus lobata
Quercus virginiana
Actinemys marmorata
Mammillaria dioica
Eriogonum latifolium
Oligyra orbiculata
Polypodium californicum
Ardenna creatopus
Oxalis violacea
Hypoxis hirsuta
Delphinium tricorne
Viburnum rufidulum
Sabal minor
Chlosyne ehrenbergii
Pellaea andromedifolia
Bufo bufo
Pellaea mucronata
Autographa californica
Blechnum procerum
Hypochaeris radicata
Ecnomiohyla miotympanum
Pseudothyatira cymatophoroides
Melanchra adjuncta
Coenonympha arcania
Euphorbia corollata
Physocarpus capitatus
Prunus ilicifolia
Argia fumipennis
Epiactis prolifera
Xylocopa micans
Tephrosia virginiana
Euthamia graminifolia
Tradescantia virginiana
Desmodium paniculatum
Lavandula stoechas
Ludwigia alternifolia
Hibiscus laevis
Diodia virginiana
Veronica americana
Ailanthus altissima
Lobelia kalmii
Parietaria judaica
Polystichum vestitum
Centranthus ruber
Aspidoscelis gularis
Mitrephanes phaeocercus
Cairina moschata domestica
Aspidoscelis hyperythra
Strelitzia reginae
Rhipidura leucophrys
Leucopogon fasciculatus
Oxalis acetosella
Colocasia esculenta
Agave americana
Boehmeria cylindrica
Amphipsalta zelandica
Aspidoscelis sexlineata
Leiocephalus carinatus
Geastrum saccatum
Blechnum novae-zelandiae
Pyrausta inornatalis
Vicia villosa
Strongylocentrotus franciscanus
Kricogonia lyside
Myosotis scorpioides
Papilio multicaudata
Myosotis latifolia
Vanessa atalanta
Sarcoscypha coccinea
Ardenna gravis
Scutellinia scutellata
Monadenia fidelis
Cynoglossum grande
Malva moschata
Phanaeus vindex
Agraulis vanillae
Letharia vulpina
